episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,536974,590904,640908,686719,729227,770325,812110,850834,891463,933205,974991,1012731,1052636,1091638,1133767,1175565,1216452,1256485,1295277,1333618,1373067,1412969,1452165,1488846,1526034,1562409,1604568,1646339,1689102,1732239,1773713,1813534,1854039,1894170,1932798,1970262,2009333,2045517,2082327,2118783,2154970,2190561,2228203,2262576,2297881,2331646,2366112,2401807,2436373,2469824,2503603,2538619,2572609,2607076,2639894,2672314,2704914,2736678,2769235,2800989,2833301,2865324,2897357,2928957,2960699,2992318
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.46,0.585,0.735,0.855,0.855,0.74,0.83,0.755,0.74,0.72,0.86,0.785,0.82,0.715,0.715,0.75,0.765,0.805,0.825,0.77,0.77,0.785,0.87,0.855,0.885,0.68,0.69,0.64,0.635,0.695,0.745,0.72,0.735,0.77,0.815,0.75,0.855,0.835,0.85,0.855,0.88,0.805,0.915,0.885,0.94,0.915,0.87,0.91,0.95,0.94,0.895,0.93,0.915,0.965,0.975,0.965,0.995,0.97,0.995,0.975,0.985,0.985,1.0,0.995,1.0
level,0,1,1,1,4,5,5,1,4,1,4,1,5,1,5,5,5,5,5,1,5,4,1,5,5,4,5,5,5,5,5,5,5,1,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,5,4,5,3,4,4,4,4,4,5,5,5,3,3,5,4,3,5,5,5,4,4,3,4,4
count_id,0,14,14,14,4,0,0,14,2,14,4,14,0,14,0,0,0,0,0,14,0,4,14,0,0,5,0,0,0,0,0,0,0,14,0,3,3,3,3,3,0,3,3,0,3,3,3,3,3,0,0,3,0,13,3,3,3,3,3,0,0,0,13,13,0,3,13,0,0,0,3,3,14,3,3
norm_ent 0,0.8524630257057582,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752,0.9783574437955752
norm_ent 1,0.913844011313992,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899,0.9784102229833899
norm_ent 2,0.8608494764068771,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742,0.9781132544677742
norm_ent 3,0.8788872928518286,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154,0.9600060117547154
norm_ent 4,0.5040836667732322,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503,0.6669493060793503
