episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,539620,591588,644702,702144,758819,815948,871319,921452,971432,1020340,1066247,1109085,1152194,1194366,1236936,1281205,1326155,1369417,1412033,1453701,1498748,1541399,1584170,1637232,1689034,1730819,1772486,1814445,1854706,1894312,1931869,1970187,2007775,2047442,2085293,2121177,2158049,2194192,2230790,2266385,2302441,2336982,2372623,2407555,2441960,2477285,2512045,2546415,2580641,2615729,2649689,2685024,2718963,2752649,2786993,2820619,2854301,2888055,2921868,2955574,2989517,3023251,3056787,3090196,3125506,3162021
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.975,0.64,0.16,0.25,0.325,0.52,0.58,0.57,0.62,0.7,0.805,0.775,0.815,0.78,0.7,0.675,0.75,0.77,0.805,0.665,0.745,0.74,0.3,0.325,0.7,0.705,0.69,0.75,0.785,0.85,0.82,0.85,0.775,0.84,0.915,0.875,0.9,0.88,0.915,0.89,0.95,0.905,0.93,0.95,0.92,0.935,0.95,0.955,0.925,0.965,0.915,0.97,0.975,0.95,0.98,0.975,0.975,0.97,0.975,0.965,0.975,0.98,0.985,0.915,0.87
level,0,1,1,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,1,5,1,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,4,4,5,5,3,1,5,5,4,4
count_id,0,14,14,14,14,14,14,14,14,14,19,14,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,14,0,14,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,5,2,0,0,12,14,0,0,3,3
norm_ent 0,0.8168836991179332,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253,0.9698973900951253
norm_ent 1,0.9026069678307388,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303,0.9705181693293303
norm_ent 2,0.8249996037023669,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524,0.9712338075628524
norm_ent 3,0.9178951783976215,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742,0.9626329982358742
norm_ent 4,0.5038554484856885,0.5056334049749702,0.505702970563958,0.5056942197693443,0.5528177462810293,0.6010314618115634,0.6268533912494012,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525,0.6411549337782525
