episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660292,720093,779576,839044,898662,958177,1017756,1077280,1136772,1196344,1255560,1314834,1374217,1433391,1492427,1551663,1610863,1669958,1729070,1788130,1847365,1906530,1965587,2024768,2083955,2143083,2202202,2261196,2320256,2379304,2438777,2498341,2557962,2617893,2676724,2735202,2793652,2852095,2910940,2969608,3028170,3086722,3145128,3203386,3261692,3319865,3378124,3436227,3494386,3552553,3610717,3668756,3726898,3785038,3843114,3901146,3959196,4017226,4075273,4133309,4191329,4249329,4307292,4365277
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.68,0.705,0.47,0.53,0.33,0.495,0.45,0.43,0.57,0.545,0.48,0.56,0.68,0.55,0.615,0.65,0.595,0.61,0.62,0.66,0.645,0.66,0.68,0.66,0.685,0.705,0.695,0.73,0.345,0.12,0.09,0.05,0.535,0.7,0.84,0.865,0.69,0.81,0.86,0.81,0.845,0.82,0.84,0.86,0.865,0.955,0.915,0.885,0.925,0.975,0.925,0.935,0.96,0.99,0.975,0.98,0.98,0.985,0.99,1.0,1.0,0.99
level,0,1,1,1,1,1,1,1,3,5,4,1,5,1,1,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,3,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,4,4
count_id,0,14,14,14,14,14,14,14,8,0,2,14,0,14,14,0,0,0,3,5,0,0,5,0,0,5,3,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,0,13,0,0,3,4,2,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,4,0,2,5
norm_ent 0,0.7775970628895966,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793,0.9630134932885793
norm_ent 1,0.8572554977134711,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217,0.9812434509480217
norm_ent 2,0.8852026494007382,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705,0.9681881654900705
norm_ent 3,0.8322463777924239,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411,0.9567071796969411
norm_ent 4,0.5032638682803258,0.5057922099606775,0.5058258516092616,0.5056413184053066,0.5054605921170493,0.5066316075543591,0.5578630126214849,0.5796484943332987,0.5939747088479317,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258,0.5950324868719258
