episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1860300,1920300,1980300,2040300,2100300,2160300,2220300,2280300,2340300,2400300,2460300,2520300,2580300,2640300,2700300,2760300,2820300,2880300,2940300,3000300,3060300,3120300,3172896,3225014,3276501,3328017,3379586,3424386,3454050,3482793,3510584,3538509,3566233,3593961,3621530,3649093,3676493,3703893,3731520,3758920,3786320,3813720,3841120,3868520
eval_rew,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.6,1.6,1.6,1.6,0.72,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
train_rew,0.0,0.0,0.0,0.018500000000000003,0.1,0.1,0.1,0.095,0.08199999999999999,0.1,0.1815,0.23,0.0805,0.10550000000000001,0.11,0.09449999999999999,0.15000000000000002,0.14400000000000002,0.14500000000000002,0.12450000000000001,0.13200000000000003,0.14100000000000001,0.10649999999999998,0.1115,0.12649999999999997,0.11600000000000002,0.1325,0.1285,0.1175,0.1335,0.1155,0.148,0.109,0.1255,0.1065,0.12950000000000003,0.106,0.09300000000000001,0.163,0.15000000000000002,0.134,0.1505,0.1245,0.11750000000000002,0.1775,0.15800000000000003,0.18400000000000002,0.18800000000000006,0.26050000000000006,0.19950000000000004,0.28900000000000003,0.2545,0.268,1.365,1.361,1.439,1.422,1.4135,0.9929999999999999,1.5119999999999998,1.54,1.5864999999999998,1.5785,1.585,1.5859999999999999,1.5925,1.5930000000000002,1.6,1.6,1.5930000000000002,1.6,1.6,1.6,1.6,1.6
level,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,1,5,5,1,5,5,5,5,5,1,5,5,4,4,4,5,5,2,1,5,5,5,1,5,5,5,5,5,4,1,1,5,5,4,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5
count_id,0,14,14,14,14,14,14,14,14,14,14,0,0,0,0,4,14,0,0,14,0,0,0,0,0,14,0,0,2,5,5,0,0,9,14,0,0,0,14,0,0,0,0,0,3,14,14,0,0,4,0,14,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,3,0
norm_ent 0,0.827239332861183,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198,0.9721942103327198
norm_ent 1,0.7549095597807374,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435,0.9281510930459435
norm_ent 2,0.8157553247110289,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512,0.9739176302694512
norm_ent 3,0.8553363224724843,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743,0.9750954611779743
norm_ent 4,0.49743356907917347,0.5055630327272106,0.5056601427129574,0.5057239420672309,0.5216251952255754,0.5650077487498336,0.6034386937769073,0.6186938957847189,0.6294949207502516,0.6502218479744816,0.6650209238549651,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169,0.6799861943608169
