episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1860300,1920300,1980300,2040300,2100300,2160300,2220300,2280300,2340300,2400300,2460300,2519737,2577931,2633580,2689521,2744837,2800030,2854779,2910162,2964196,3018355,3072255,3126157,3179870,3233769,3287121,3340768,3394135,3447253,3500186,3553163,3606112,3659002,3711785,3764661,3817413,3870060,3922711,3975313,4027989,4080601,4133201,4185799,4238399
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.435,0.625,0.59,0.68,0.69,0.755,0.685,0.84,0.815,0.835,0.83,0.855,0.84,0.905,0.865,0.905,0.935,0.955,0.96,0.96,0.96,0.975,0.965,0.98,0.995,0.995,1.0,0.99,1.0,1.0,1.0,1.0
level,0,4,4,4,0,4,4,3,4,4,2,4,4,0,4,4,0,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
count_id,0,0,0,0,4,0,0,2,0,0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
norm_ent 0,0.782538397521113,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013
norm_ent 1,0.8141501252235429,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664
norm_ent 2,0.7936969442828967,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607
norm_ent 3,0.7500623141453957,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291
norm_ent 4,0.5631525041036924,0.6290234833973982,0.6179405197578967,0.6132129792183811,0.6116623644768243,0.6108583474534865,0.6106088121057167,0.6112886753119969,0.6132962473145224,0.6139855706916978,0.6144653744580603,0.6165423514186074,0.6182293605739153,0.6189284841407459,0.6200723523525082,0.6193658539189774,0.6210733159478323,0.6220545830436287,0.6228435323425834,0.6248978730206881,0.6262318528214712,0.6268589100912888,0.6273598833360573,0.6281592865217869,0.628953101924276,0.6297254496297976,0.6299196700861194,0.6310722159687481,0.6312273999649506,0.6319181791564225,0.6323495459875734,0.6323120426361987,0.632939463193069,0.6330815276976982,0.6334872594560567,0.633648491263749,0.634031327824287,0.6344577280884621,0.634741597993516,0.6344249862177024,0.6345322979119288,0.6347096379307198,0.6349232293478959,0.6351705599399878,0.6356471191742629,0.6359457349800735,0.6364129009202006,0.6369689427606144,0.6375692895403753,0.6379898788528384,0.6385345148045248,0.6391006647489338,0.6395516019645148,0.6399849158058346,0.6405213066851181,0.6409380202278484,0.6413360555406874,0.6416996487235868,0.642063860319686,0.642442377256777,0.6427939724139912,0.6431569218047272,0.6434879917011089,0.6438470891030783,0.6441679456380622,0.6444484931116629,0.6447409595579688,0.645024291244868,0.6452945513787394,0.6455558682207546,0.6458164350286055,0.6460565058923202,0.6462862456906294,0.6465067410202178,0.6467185112822258
