episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1858279,1907648,1952228,1995572,2038205,2080847,2125166,2168767,2213216,2257619,2302627,2347310,2391478,2436220,2479277,2521213,2564749,2609880,2654502,2711531,2769360,2812831,2855381,2895525,2935481,2975996,3014934,3053873,3090966,3128148,3163981,3200663,3237137,3273674,3308796,3344285,3380183,3415317,3450685,3485539,3520509,3555533,3590522,3625134
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
train_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.475,0.69,0.745,0.785,0.79,0.72,0.75,0.715,0.715,0.685,0.705,0.72,0.705,0.785,0.825,0.735,0.675,0.69,0.14,0.105,0.74,0.74,0.845,0.85,0.835,0.89,0.87,0.905,0.905,0.955,0.92,0.93,0.925,0.98,0.965,0.95,0.98,0.97,0.99,0.99,0.985,0.985,1.0
level,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
count_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norm_ent 0,0.7908084421060814,0.8723742527931754,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8753747752301507,0.8753747752301507,0.8763855513462586,0.8769908011458475,0.8769908011458475,0.8773248273663735,0.8778543490567767,0.8786359754616393,0.8795504379545714,0.8801992506989911,0.8808645665866689,0.8815649499141115,0.882147800358038,0.8825325846507913,0.8830893124243421,0.88362269314761,0.8839204341893423,0.8843603032715502,0.8844294016720188,0.8845377132564115,0.8848313581562688,0.8855522139975499,0.8857659814792643,0.8856333656791192,0.8850545497669845,0.8840632739585871,0.8827442437434985,0.8812522485838428,0.8795841898827734,0.8777902621366996,0.8760186074808755,0.8741614582887027,0.8724236243887236,0.8704493581443299,0.8684311995113934,0.8665460801247681,0.8645842464582396,0.8625371458992431,0.860600289599102,0.858747886417191,0.8565635637470924,0.8551803444846716,0.8535367272618588,0.8520177138478786,0.8505103493469786,0.8491381124305438,0.8476439305027582,0.8463529969635755,0.8451316807265727,0.8439814920517523,0.8428009604384599,0.8417344780064915,0.8406237155510149,0.8395421373110692,0.8384729203369642,0.8374896429130071,0.8364885659443071,0.8354908970852202,0.8345049424950413,0.8335184497485226,0.8325923879786423,0.8316816648726915,0.8307793881404404,0.8298980000487709,0.8290372699267858
norm_ent 1,0.7901069990451132,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411
norm_ent 2,0.7862715228425502,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8833753906913815,0.8833753906913815,0.8833753906913815,0.8833753906913815,0.8835147484488087,0.8835147484488087,0.8835147484488087,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8863021485497131,0.8863021485497131,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493,0.8916098536485493
norm_ent 3,0.7362127936805964,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904
norm_ent 4,0.7919470990953835,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247
norm_ent 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 8,,0.8237460646403899,0.8226668704134997,0.8231409441509342,0.8232243084557673,0.8226720814089747,0.8227899062802876,0.8221457264998994,0.8218015469858165,0.8214401692274448,0.821368013560684,0.821592266876483,0.8214776302740884,0.8218402994241009,0.8221456028913646,0.8223119329530243,0.8227072925897831,0.8229586371953546,0.8235474125545074,0.8245306800887858,0.8249851842659074,0.8259986018426848,0.826602554005474,0.8274747866688147,0.8281181212906726,0.829049972749863,0.8297612580788793,0.8306544623515347,0.831202817960654,0.8320007493079137,0.8327309097559746,0.833932268389847,0.8347296692761318,0.8355463899959383,0.8363156632816707,0.8370151248747059,0.8376619537159281,0.8384227787049968,0.8389649414647075,0.8392876268856322,0.8395818748086171,0.8398352902282205,0.8400107978193996,0.8399911258505437,0.8399238431212285,0.8396673844766624,0.8393621982572207,0.839263894256474,0.8391155744804673,0.8387597842187172,0.8377504673426452,0.836953307904741,0.8365701484713202,0.8361460330345584,0.8356863596428448,0.8352454329704151,0.8347515283245979,0.834255206993196,0.8338351084650891,0.8333995576465552,0.832979818530505,0.8325116662721487,0.8320279085744712,0.8315238522516658,0.8310190007797772,0.8305246581428157,0.830018308867607,0.829475609026939,0.8289403877465017,0.8283908751742423,0.8278628483460835,0.8273480773323042,0.8268185879297462,0.8262809270823886,0.8257494869606774
norm_ent 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 11,,0.8708075327004342,0.8745436572954082,0.8723068859145153,0.8736007722339671,0.8731922187079206,0.8735434579920464,0.8739979678513309,0.874309714481743,0.874303371510492,0.87469265118728,0.8748676466191866,0.8749975667079019,0.8760061409604607,0.8764458870235085,0.8767846798100645,0.8774511024612683,0.8782580920296446,0.8791446519146953,0.8804193849804769,0.8809965196910304,0.8817384582786701,0.8819552452998058,0.8831896794245748,0.8835561037205993,0.8837302200042653,0.8840508846855393,0.884573179269451,0.8848390574887673,0.8848390574887673,0.8850439435795632,0.8858927633092021,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199,0.8861249470591199
norm_ent 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 13,,0.8294766931746923,0.8276320068773019,0.8270401159628764,0.8270492544964649,0.8265120052242393,0.8267393089354473,0.826163938557735,0.8256807399708271,0.8252637240938887,0.8250805840372037,0.8252641563415527,0.8248731959265493,0.8252135269249553,0.825756629053222,0.8258273817198795,0.826214541550661,0.826691064305649,0.8274379086374563,0.8281856519654456,0.8287126115655052,0.8295344980710626,0.8302571884410643,0.8312020589540955,0.8319025586339435,0.8328163511853499,0.8334358954348545,0.8352142707243189,0.8356994752235158,0.8365381064835107,0.8369362555677741,0.8388361105908226,0.841538099415573,0.8446565784961474,0.8472492067050829,0.8493893368844732,0.8513929360254626,0.8538284554182559,0.8554510071202075,0.857017727118798,0.8584217026925552,0.8595627275044505,0.8605662427244912,0.861408251789524,0.8619678937924327,0.8621191710553966,0.8622478301066658,0.8625019896813189,0.8628556985120643,0.8625513301805471,0.860874429357067,0.8591906918579546,0.8591700805821917,0.8589655344423549,0.8588027888600201,0.858599760448028,0.8583395392815504,0.8579370604493896,0.8576607887852937,0.8573768446461884,0.8571050729320143,0.8567275505560722,0.8563694150441361,0.8559572166551402,0.8555382393082209,0.8550449983902777,0.8545746934282693,0.8540656907473932,0.8535185134793745,0.8529434683769971,0.8523785014467582,0.851842614287792,0.851303538921006,0.8507289225952176,0.8501381960320983
norm_ent 14,,0.8334772327126384,0.8356671094732512,0.8355822927444183,0.8371181433153702,0.8361394280087939,0.8366554193460436,0.8373646790938056,0.8382707901176956,0.8394122036646581,0.8392568046264629,0.8402545038864084,0.8410592669041623,0.8430507491666893,0.8439805713859044,0.8448436384069031,0.8460885914052125,0.8475484251226054,0.8489236147446905,0.8509867685376881,0.8522567983088493,0.8546930968227996,0.8561823189111759,0.8586528325324332,0.8603337192865,0.8622328226409139,0.8644573500937095,0.8661409046634128,0.8673920288013314,0.8693661579670402,0.8709581365559917,0.873071856907307,0.8742867518597254,0.8751140724847654,0.8759334222936459,0.8765534478865238,0.877137753633701,0.8780215415080063,0.8785866967611741,0.8789396907594249,0.8793936991232704,0.8797231890505324,0.879940600954386,0.8798722079266775,0.8797966520947293,0.8793584352694762,0.8789343821360394,0.8787630821668577,0.8786850392483283,0.8782118519187639,0.8760678460222697,0.8740680941850718,0.8736631049309214,0.8732113601146281,0.8726886914365933,0.8722303741495884,0.8717831563255631,0.8711566201236454,0.8706311070322347,0.8700828631640978,0.8695966834012623,0.8689399559027604,0.8683479638255227,0.8677681201980612,0.8671739346884043,0.8665074894601692,0.8658393064180203,0.8651407275414681,0.8644228540729364,0.8637069560153434,0.8629790565882627,0.8622790937288373,0.8615807329869078,0.860864253946749,0.8601375396090448
norm_ent 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
