episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1852740,1893391,1932399,1971344,2010271,2048816,2087236,2125672,2163776,2202378,2240369,2278469,2316692,2355397,2393518,2431570,2469446,2507482,2545217,2583036,2620670,2658407,2695918,2733660,2771286,2808902,2846309,2883709,2921109,2958496,2995896,3033300,3070702,3108102,3145615,3183015,3220415,3257815,3295328,3332728,3370128,3407528,3444928,3482328
eval_rew,0.36,0.15000000000000002,0.16,0.27,0.17,0.19999999999999998,0.09,0.0,0.11000000000000001,0.27999999999999997,0.07999999999999999,0.08,0.06999999999999999,0.18,0.16,0.04,0.09,0.13999999999999999,0.1,0.18,0.22999999999999998,0.12000000000000002,0.09,0.44000000000000006,0.05,0.05,0.07,0.20999999999999996,0.18,0.11000000000000001,0.04,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001
train_rew,0.6,0.37849999999999995,0.2645,0.252,0.254,0.2155,0.2545,0.196,0.22650000000000003,0.245,0.19899999999999998,0.221,0.1945,0.23549999999999996,0.27799999999999997,0.25549999999999995,0.272,0.25199999999999995,0.288,0.313,0.3015,0.32549999999999996,0.309,0.363,0.3390000000000001,0.3715,0.34,0.47100000000000003,0.35950000000000004,0.381,0.433,2.044,4.421,4.737,4.731,4.700500000000001,4.773000000000001,4.804500000000001,4.7845,4.876500000000001,4.764000000000001,4.906500000000001,4.851500000000001,4.850000000000001,4.7410000000000005,4.876000000000001,4.8785,4.901500000000001,4.881000000000001,4.925000000000001,4.925000000000001,4.950000000000001,4.925000000000001,4.975000000000001,4.925000000000001,4.950000000000001,4.950000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,4.975000000000001,5.000000000000001,5.000000000000001,5.000000000000001,4.975000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001,5.000000000000001
level,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
count_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norm_ent 0,0.7908084421060814,0.8723742527931754,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8749185863001844,0.8753747752301507,0.8753747752301507,0.8763855513462586,0.8769908011458475,0.8769908011458475,0.8773248273663735,0.8778543490567767,0.8786359754616393,0.8795504379545714,0.8801992506989911,0.8808645665866689,0.8815649499141115,0.882147800358038,0.8825325846507913,0.8830893124243421,0.88362269314761,0.8839204341893423,0.8843603032715502,0.8844294016720188,0.8845377132564115,0.8848313581562688,0.8855063755414485,0.885441401543314,0.8846917431060188,0.883416079293863,0.8817943702102399,0.8799918756221297,0.8780664877913473,0.8760084616813196,0.8738835916414724,0.8718474537869352,0.8697107395040141,0.8675645505892209,0.8653601118399449,0.8633427784317718,0.861253117212537,0.8592092060743048,0.8572547739795424,0.8553912650201037,0.8535405339915672,0.8516506431746568,0.84984608665125,0.8480889573455892,0.8464033730400113,0.8447539686412011,0.8431265123473946,0.8415648388646167,0.84002843217337,0.8385311426717542,0.8370728399517499,0.8356534590227601,0.8342695583158712,0.8329209941493798,0.8316068362162101,0.8303258403812864,0.8290778560373817,0.8278599904858717,0.8266720715526747,0.8255130931149273,0.8244044364950174,0.8233003437782954,0.8222223722679213,0.8211696499171317,0.8201413370867577,0.8191366257978089
norm_ent 1,0.7901069990451132,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411,0.9357758902102411
norm_ent 2,0.7862715228425502,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8789236087647869,0.8833753906913815,0.8833753906913815,0.8833753906913815,0.8833753906913815,0.8835147484488087,0.8835147484488087,0.8835147484488087,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8856082697669834,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131,0.8863021485497131
norm_ent 3,0.7362127936805964,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904,0.9036777887126904
norm_ent 4,0.7919470990953835,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247,0.9209839136503247
