episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1860300,1920300,1980300,2040300,2100300,2160300,2220300,2280300,2340300,2400300,2460300,2520297,2580252,2640252,2700252,2760252,2820252,2880252,2940252,3000252,3060252,3120252,3180252,3240252,3300217,3360217,3420217,3480217,3540217,3600217,3660217,3720217,3780217,3840217,3900217,3960217,4020217,4080175,4140175,4200175,4260175,4320175,4380175,4440175
eval_rew,0.05,0.0,0.01,0.06000000000000001,0.0,0.030000000000000006,0.02,0.02,0.01,0.0,0.0,0.0,0.05,0.0,0.05,0.04,0.08,0.01,0.0,0.01,0.0,0.030000000000000006,0.06999999999999999,0.06,0.05,0.030000000000000006,0.05,0.0,0.0,0.11000000000000001,0.04,0.0,0.02,0.030000000000000006,0.01,0.05,0.04,0.02,0.0,0.05,0.030000000000000006,0.0,3.2,3.2,0.64,3.2,3.2,0.0,0.97,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,0.02,0.0,3.2,0.0,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.3200000000000003,3.0,3.0,3.0,3.0,3.0
train_rew,0.0,0.0095,0.020499999999999997,0.034,0.022,0.035,0.017,0.020500000000000004,0.03,0.024,0.018000000000000002,0.044500000000000005,0.03,0.0215,0.0255,0.035,0.013999999999999999,0.03900000000000001,0.011000000000000001,0.014000000000000002,0.013000000000000001,0.020499999999999997,0.032,0.033,0.018000000000000002,0.0325,0.0235,0.009000000000000001,0.0305,0.016,0.03899999999999999,0.015,0.014499999999999999,0.034,0.029500000000000002,0.02,0.0275,0.06649999999999999,0.033,0.0455,0.0545,0.0825,0.1045,0.0775,0.0745,0.0925,0.043,0.0795,0.188,0.144,0.157,0.16649999999999998,0.11599999999999999,0.14800000000000002,0.1195,0.0885,0.09549999999999999,0.065,0.11199999999999999,0.1325,0.1285,0.159,0.1795,0.251,0.176,0.2915,0.24549999999999997,0.294,0.32049999999999995,0.24249999999999997,0.3035,0.30899999999999994,0.319,0.2895,0.217
level,0,4,4,4,0,4,4,3,4,4,2,4,4,0,4,4,0,4,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,4,2,4,0,0,4,4,4,0,0,4,0,4,4,4,4,4,4,4,3,4,4,4,0,0,4,4,4,1,4,0,0,4,1,4,0
count_id,0,0,0,0,4,0,0,2,0,0,4,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,4,4,0,0,0,4,4,0,4,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,8,0,4,4,0,3,0,4
norm_ent 0,0.782538397521113,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013,0.8607522815561013
norm_ent 1,0.8141501252235429,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664,0.9694358490821664
norm_ent 2,0.7936969442828967,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607,0.8430878808790607
norm_ent 3,0.7500623141453957,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291,0.9361202280998291
norm_ent 4,0.5631525041036924,0.6290234833973982,0.6179405197578967,0.6132129792183811,0.6116623644768243,0.6108583474534865,0.6106088121057167,0.6112886753119969,0.6132962473145224,0.6139855706916978,0.6144653744580603,0.6165423514186074,0.6182293605739153,0.6189284841407459,0.6200723523525082,0.6193658539189774,0.6210733159478323,0.6220545830436287,0.6228435323425834,0.6248978730206881,0.6262318528214712,0.6268589100912888,0.6273598833360573,0.6281592865217869,0.628953101924276,0.6297254496297976,0.6299196700861194,0.6310722159687481,0.6312273999649506,0.6319181791564225,0.6323495459875734,0.6323120426361987,0.632939463193069,0.6330815276976982,0.6334872594560567,0.633648491263749,0.634031327824287,0.6344577280884621,0.634741597993516,0.6344249862177024,0.6345322979119288,0.6347096379307198,0.6349919626395527,0.6351423944373094,0.635633896383928,0.6356205489849686,0.6358387602882151,0.6362962830791711,0.6364876771191036,0.6370541515685003,0.6373098287299487,0.6377288556011864,0.6375392507204444,0.6375084141878196,0.6373878396031264,0.6370533358250998,0.6366720263181047,0.6363017567671568,0.636321848669643,0.6361826588831225,0.6362143251887119,0.6364353042365833,0.6366925492812515,0.6378959592574494,0.6388688383150171,0.6396765912773302,0.6405102843866949,0.6411535575816559,0.6420674050114259,0.6426635535944298,0.643636379084585,0.6446590881452825,0.6450948118152134,0.6461155004884851,0.6465676450456582
norm_ent 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
